CommandLine, Time, Executable, Parent PID, PID, User, Privileges
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 31c -InterruptEvent 0 -NGENProcess 2f8 -Pipe 314 -Comment "NGen Worker Process" , 20231031164023.518353+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2488 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 31c -InterruptEvent 0 -NGENProcess 310 -Pipe 328 -Comment "NGen Worker Process" , 20231031164024.493361+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 6044 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 324 -InterruptEvent 0 -NGENProcess 2d4 -Pipe 31c -Comment "NGen Worker Process" , 20231031164025.894432+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 334 -InterruptEvent 0 -NGENProcess 32c -Pipe 310 -Comment "NGen Worker Process" , 20231031164027.846717+000 , None,4400 , 2344 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 324 -InterruptEvent 0 -NGENProcess 310 -Pipe 330 -Comment "NGen Worker Process" , 20231031164027.393208+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3136 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 33c -InterruptEvent 0 -NGENProcess 308 -Pipe 2f8 -Comment "NGen Worker Process" , 20231031164029.577574+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 4508 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 344 -InterruptEvent 0 -NGENProcess 300 -Pipe 2d4 -Comment "NGen Worker Process" , 20231031164031.780078+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5344 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 344 -InterruptEvent 0 -NGENProcess 32c -Pipe 348 -Comment "NGen Worker Process" , 20231031164032.199173+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2256 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 34c -InterruptEvent 0 -NGENProcess 2b4 -Pipe 32c -Comment "NGen Worker Process" , 20231031164034.747121+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5944 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 34c -InterruptEvent 0 -NGENProcess 308 -Pipe 350 -Comment "NGen Worker Process" , 20231031164035.627688+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5836 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 354 -InterruptEvent 0 -NGENProcess 334 -Pipe 308 -Comment "NGen Worker Process" , 20231031164038.922644+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5712 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2b4 -InterruptEvent 0 -NGENProcess 324 -Pipe 300 -Comment "NGen Worker Process" , 20231031164041.781308+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2b4 -InterruptEvent 0 -NGENProcess 33c -Pipe 35c -Comment "NGen Worker Process" , 20231031164042.464884+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5244 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
